pub_time,ticker,title,summary,sentiment_score
2025-04-20 19:21:35,AAPL,These are the 4 biggest things we're watching in the stock market in the week ahead,First-quarter earnings season picks up speed inside our portfolio and outside of it.,-0.5994
2025-04-20 23:50:03,AAPL,Captive concerns: Why Cognizant has called out the risk from GCCs,"Cognizant and homegrown IT services firms provide services, including application development and maintenance, to some of the world's largest companies, including Apple and Walmart",0.0
2025-06-14 01:00:02,AAPL,Metavista Provides Disclosure Clarifications,"VANCOUVER, BC / ACCESS Newswire / June 13, 2025 / Metavista3D Inc. (TSXV:DDD)(FSE:E3T) (""Metavista3D"" or the ""Company"") announces that, as a result of a continu",0.02725
2025-06-14 01:30:33,AAPL,Apple Reroutes 97% Of Foxconn iPhone Exports From India To US Between March And May As Trump Threatens 25% Tariff On Non-US-Made iPhones: Report,"Apple Inc. (NASDAQ:AAPL) has reportedly increased its iPhone shipments from India to the U.S. in the past few months, as the tech giant moves to protect its U.S. sales from the impact of escalating tariffs on China-made goods. What Happened: Between March and May, 97% of iPhones exported by Foxconn, also known as Hon Hai Precision Industry Co., Ltd (OTC:HNHAF), from India were sent to the U.S., according to customs data reviewed by Reuters. That's a steep jump from the 2024 average of just over",0.22465
2025-06-14 05:30:21,AAPL,Trump Stock Market: Tariffs’ Rollercoaster Ride,"Ah, the ever-entertaining world of Trump's policies, where a single tweet or announcement can send markets into a frenzy faster than a squirrel in a nut",0.5719
2025-06-14 08:00:53,AAPL,"Mobile Game Development Market Size, Strategic Analysis, Growth Drivers, Industry Trends, Demand and Future Opportunities and Forecast Period",The market for mobile game development market was estimated to be worth USD 139.1 billion in 2024 and is expected to expand at a compound annual growth rate (CAGR) of 10.5% over the course of the…,-0.11315
2025-06-14 09:55:00,AAPL,3 No-Brainer Artificial Intelligence (AI) Growth Stocks to Buy With $200 Right Now,"Finding value in artificial intelligence (AI) stocks can be tough, especially with just $200. These three options meet the mark, though.",0.176833
2025-06-14 10:30:21,AAPL,Trump Stock Market: Trade Whiplash and Tariff Tumult,"Oh, what a ride it's been lately in the world of finance, where President Trump's announcements swing like a pendulum on steroids. Just when you think we've",0.6597
2025-06-14 16:16:31,AAPL,Israel-Iran attacks and the 2 other things that drove the stock market this week,Investors received good news on the inflation front on Wednesday and Thursday.,-0.6124
2025-06-14 22:00:00,AAPL,"The ""Magnificent Seven"" Are Still Growing Faster Than the Rest of the S&P 500. Here's When That Could Change, According to Wall Street Analysts.",The high valuations of most of the group could be a concern.,0.37445
2025-06-14 22:05:00,AAPL,"Taiwan Imposes Export Controls On China's Huawei, SMIC","ZeroHedge - On a long enough timeline, the survival rate for everyone drops to zero",-0.34
2025-06-14 23:02:14,AAPL,Global Risk Montior: Week in Review – June 13,"This week presented a paradox that seasoned portfolio and hedge fund managers will recognize immediately: risk is rising, but price action remains oddly composed. With geopolitical tensions escalating in the Middle East, oil surging, and inflation data surprising to the downside, equity markets continued trading with a deceptive calm, masking deeper structural vulnerabilities. Behind the…",-0.6908
